Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
63;02/07;22:00;Noite;GT_Leagues;Copenhagen;Ivan;Lazio;Hakan;3;1;H
64;02/07;22:00;Noite;GT_Leagues;Dortmund;Carlos;Barcelona;Goliath;5;5;D
65;02/07;21:30;Noite;GT_Leagues;Copenhagen;Ivan;Dortmund;Carlos;3;4;A
66;02/07;21:30;Noite;GT_Leagues;Arsenal;TongPo;Barcelona;Goliath;4;4;D
67;02/07;21:15;Noite;GT_Leagues;Arsenal;TongPo;Lazio;Hakan;4;2;H
68;02/07;21:15;Noite;GT_Leagues;Copenhagen;Ivan;Barcelona;Goliath;2;4;A
69;02/07;21:00;Noite;GT_Leagues;Dortmund;Carlos;Lazio;Hakan;4;3;H
70;02/07;21:00;Noite;GT_Leagues;Arsenal;TongPo;Copenhagen;Ivan;2;5;A
71;02/07;20:45;Noite;GT_Leagues;Barcelona;Goliath;Lazio;Hakan;3;2;H
72;02/07;20:45;Noite;GT_Leagues;Arsenal;TongPo;Dortmund;Carlos;1;4;A
73;02/07;20:30;Noite;GT_Leagues;SC Freiburg;Furious;Galatasaray;Mosquito;3;3;D
74;02/07;20:30;Noite;GT_Leagues;Lazio;Hakan;Copenhagen;Ivan;2;4;A
75;02/07;20:30;Noite;GT_Leagues;Barcelona;Goliath;Dortmund;Carlos;2;6;A
76;02/07;20:15;Noite;GT_Leagues;Rangers;Socrates;Galatasaray;Mosquito;3;1;H
77;02/07;20:15;Noite;GT_Leagues;SC Freiburg;Furious;Roma;Saigon;3;0;H
78;02/07;20:15;Noite;GT_Leagues;Juventus;Goliath;AC Milan;TongPo;2;4;A
79;02/07;20:15;Noite;GT_Leagues;Inter;Carlos;Napoli;Ivan;4;0;H
80;02/07;20:00;Noite;GT_Leagues;Rangers;Socrates;Brighton;Professor;3;5;A
81;02/07;20:00;Noite;GT_Leagues;Juventus;Goliath;Napoli;Ivan;2;2;D
82;02/07;20:00;Noite;GT_Leagues;Roma;Hakan;AC Milan;TongPo;2;0;H
83;02/07;19:45;Noite;GT_Leagues;Brighton;Professor;Galatasaray;Mosquito;4;5;A
84;02/07;19:45;Noite;GT_Leagues;Rangers;Socrates;SC Freiburg;Furious;3;5;A
85;02/07;19:45;Noite;GT_Leagues;Roma;Hakan;Inter;Carlos;1;1;D
86;02/07;19:45;Noite;GT_Leagues;Napoli;Ivan;AC Milan;TongPo;3;2;H
87;02/07;19:30;Noite;GT_Leagues;Roma;Saigon;Rangers;Socrates;5;1;H
88;02/07;19:30;Noite;GT_Leagues;Brighton;Professor;SC Freiburg;Furious;0;4;A
89;02/07;19:30;Noite;GT_Leagues;Roma;Hakan;Juventus;Goliath;2;3;A
90;02/07;19:30;Noite;GT_Leagues;Inter;Carlos;AC Milan;TongPo;1;2;A
91;02/07;19:15;Noite;GT_Leagues;Galatasaray;Mosquito;SC Freiburg;Furious;0;1;A
92;02/07;19:15;Noite;GT_Leagues;Roma;Saigon;Brighton;Professor;4;6;A
93;02/07;19:15;Noite;GT_Leagues;Inter;Carlos;Juventus;Goliath;5;5;D
94;02/07;19:15;Noite;GT_Leagues;Napoli;Ivan;Roma;Hakan;2;2;D
95;02/07;19:00;Noite;GT_Leagues;Galatasaray;Mosquito;Rangers;Socrates;3;2;H
96;02/07;19:00;Noite;GT_Leagues;Roma;Saigon;SC Freiburg;Furious;1;1;D
97;02/07;19:00;Noite;GT_Leagues;AC Milan;TongPo;Juventus;Goliath;6;4;H
98;02/07;19:00;Noite;GT_Leagues;Napoli;Ivan;Inter;Carlos;3;3;D
99;02/07;18:45;Noite;GT_Leagues;Galatasaray;Mosquito;Roma;Saigon;3;4;A
100;02/07;18:45;Noite;GT_Leagues;Brighton;Professor;Rangers;Socrates;5;0;H
101;02/07;18:45;Noite;GT_Leagues;Napoli;Ivan;Juventus;Goliath;3;1;H
102;02/07;18:45;Noite;GT_Leagues;AC Milan;TongPo;Roma;Hakan;1;1;D
103;02/07;18:30;Noite;GT_Leagues;Galatasaray;Mosquito;Brighton;Professor;2;3;A
104;02/07;18:30;Noite;GT_Leagues;SC Freiburg;Furious;Rangers;Socrates;5;3;H
105;02/07;18:30;Noite;GT_Leagues;Inter;Carlos;Roma;Hakan;1;1;D
106;02/07;18:30;Noite;GT_Leagues;AC Milan;TongPo;Napoli;Ivan;3;3;D
107;02/07;18:15;Noite;GT_Leagues;SC Freiburg;Furious;Brighton;Professor;3;1;H
108;02/07;18:15;Noite;GT_Leagues;Rangers;Socrates;Roma;Saigon;3;3;D
109;02/07;18:15;Noite;GT_Leagues;Juventus;Goliath;Roma;Hakan;4;2;H
110;02/07;18:15;Noite;GT_Leagues;AC Milan;TongPo;Inter;Carlos;3;3;D
111;02/07;18:00;Noite;GT_Leagues;Real Madrid;Furious;Bayern;Mosquito;4;2;H
112;02/07;18:00;Noite;GT_Leagues;PSG;Professor;Man City;Saigon;4;2;H
113;02/07;18:00;Noite;GT_Leagues;Juventus;Goliath;Inter;Carlos;0;4;A
114;02/07;18:00;Noite;GT_Leagues;Roma;Hakan;Napoli;Ivan;1;3;A
115;02/07;17:45;Tarde;GT_Leagues;Real Madrid;Furious;Man City;Saigon;4;5;A
116;02/07;17:30;Tarde;GT_Leagues;Man City;Saigon;Bayern;Mosquito;3;1;H
117;02/07;17:30;Tarde;GT_Leagues;Girona;Venom;A.Bilbao;Mars;2;1;H
118;02/07;17:30;Tarde;GT_Leagues;A.Madrid;Anthem;Barcelona;Raul;4;3;H
119;02/07;17:15;Tarde;GT_Leagues;PSG;Professor;Bayern;Mosquito;3;5;A
120;02/07;17:15;Tarde;GT_Leagues;Inter;Socrates;Real Madrid;Furious;3;2;H
121;02/07;17:15;Tarde;GT_Leagues;Real Madrid;Seagal;Barcelona;Raul;1;4;A
122;02/07;17:15;Tarde;GT_Leagues;A.Madrid;Anthem;A.Bilbao;Mars;1;4;A
123;02/07;17:00;Tarde;GT_Leagues;Man City;Saigon;Inter;Socrates;3;2;H
124;02/07;17:00;Tarde;GT_Leagues;PSG;Professor;Real Madrid;Furious;1;4;A
125;02/07;17:00;Tarde;GT_Leagues;Real Madrid;Seagal;Girona;Venom;3;1;H
126;02/07;17:00;Tarde;GT_Leagues;A.Bilbao;Mars;Barcelona;Raul;2;5;A
127;02/07;16:45;Tarde;GT_Leagues;Girona;Venom;Barcelona;Raul;0;3;A
128;02/07;16:45;Tarde;GT_Leagues;Real Madrid;Seagal;A.Madrid;Anthem;3;3;D
129;02/07;16:30;Tarde;GT_Leagues;Bayern;Mosquito;Real Madrid;Furious;2;1;H
130;02/07;16:30;Tarde;GT_Leagues;Man City;Saigon;PSG;Professor;1;1;D
131;02/07;16:30;Tarde;GT_Leagues;Girona;Venom;A.Madrid;Anthem;1;4;A
132;02/07;16:30;Tarde;GT_Leagues;A.Bilbao;Mars;Real Madrid;Seagal;1;3;A
133;02/07;16:15;Tarde;GT_Leagues;Bayern;Mosquito;Inter;Socrates;2;3;A
134;02/07;16:15;Tarde;GT_Leagues;Man City;Saigon;Real Madrid;Furious;4;4;D
135;02/07;16:15;Tarde;GT_Leagues;A.Bilbao;Mars;Girona;Venom;4;2;H
136;02/07;16:15;Tarde;GT_Leagues;Barcelona;Raul;A.Madrid;Anthem;2;3;A
137;02/07;16:00;Tarde;GT_Leagues;Bayern;Mosquito;Man City;Saigon;3;4;A
138;02/07;16:00;Tarde;GT_Leagues;PSG;Professor;Inter;Socrates;1;4;A
139;02/07;16:00;Tarde;GT_Leagues;A.Bilbao;Mars;A.Madrid;Anthem;1;4;A
140;02/07;16:00;Tarde;GT_Leagues;Barcelona;Raul;Real Madrid;Seagal;1;4;A
141;02/07;15:45;Tarde;GT_Leagues;Bayern;Mosquito;PSG;Professor;2;1;H
142;02/07;15:45;Tarde;GT_Leagues;Real Madrid;Furious;Inter;Socrates;4;2;H
143;02/07;15:45;Tarde;GT_Leagues;Girona;Venom;Real Madrid;Seagal;1;4;A
144;02/07;15:45;Tarde;GT_Leagues;Barcelona;Raul;A.Bilbao;Mars;4;3;H
145;02/07;15:30;Tarde;GT_Leagues;Inter;Socrates;Man City;Saigon;2;3;A
146;02/07;15:30;Tarde;GT_Leagues;Barcelona;Raul;Girona;Venom;2;1;H
147;02/07;15:30;Tarde;GT_Leagues;A.Madrid;Anthem;Real Madrid;Seagal;2;1;H
148;02/07;15:15;Tarde;GT_Leagues;Porto;Professor;Leipzig;Saigon;4;4;D
149;02/07;15:15;Tarde;GT_Leagues;A.Madrid;Anthem;Girona;Venom;3;4;A
150;02/07;15:15;Tarde;GT_Leagues;Real Madrid;Seagal;A.Bilbao;Mars;2;4;A
151;02/07;15:00;Tarde;GT_Leagues;PSV;Socrates;A.Madrid;Mosquito;3;2;H
152;02/07;15:00;Tarde;GT_Leagues;Napoli;Furious;Leipzig;Saigon;2;5;A
153;02/07;15:00;Tarde;GT_Leagues;Dortmund;Venom;Copenhagen;Mars;2;1;H
154;02/07;15:00;Tarde;GT_Leagues;Barcelona;Anthem;Arsenal;Raul;0;4;A
155;02/07;14:45;Tarde;GT_Leagues;Leipzig;Saigon;A.Madrid;Mosquito;5;2;H
156;02/07;14:45;Tarde;GT_Leagues;PSV;Socrates;Porto;Professor;5;6;A
157;02/07;14:45;Tarde;GT_Leagues;Barcelona;Anthem;Copenhagen;Mars;1;2;A
158;02/07;14:45;Tarde;GT_Leagues;Lazio;Seagal;Arsenal;Raul;2;4;A
159;02/07;14:30;Tarde;GT_Leagues;Porto;Professor;A.Madrid;Mosquito;1;0;H
160;02/07;14:30;Tarde;GT_Leagues;PSV;Socrates;Napoli;Furious;2;3;A
161;02/07;14:30;Tarde;GT_Leagues;Lazio;Seagal;Dortmund;Venom;4;1;H
162;02/07;14:30;Tarde;GT_Leagues;Copenhagen;Mars;Arsenal;Raul;3;2;H
163;02/07;14:15;Tarde;GT_Leagues;Porto;Professor;Napoli;Furious;0;2;A
164;02/07;14:15;Tarde;GT_Leagues;Leipzig;Saigon;PSV;Socrates;3;5;A
165;02/07;14:15;Tarde;GT_Leagues;Lazio;Seagal;Barcelona;Anthem;4;3;H
166;02/07;14:15;Tarde;GT_Leagues;Dortmund;Venom;Arsenal;Raul;3;4;A
167;02/07;14:00;Tarde;GT_Leagues;A.Madrid;Mosquito;Napoli;Furious;1;6;A
168;02/07;14:00;Tarde;GT_Leagues;Leipzig;Saigon;Porto;Professor;3;5;A
169;02/07;14:00;Tarde;GT_Leagues;Dortmund;Venom;Barcelona;Anthem;3;2;H
170;02/07;13:45;Tarde;GT_Leagues;A.Madrid;Mosquito;PSV;Socrates;5;4;H
171;02/07;13:45;Tarde;GT_Leagues;Leipzig;Saigon;Napoli;Furious;2;3;A
172;02/07;13:30;Tarde;GT_Leagues;A.Madrid;Mosquito;Leipzig;Saigon;0;3;A
173;02/07;13:30;Tarde;GT_Leagues;Porto;Professor;PSV;Socrates;1;1;D
174;02/07;13:30;Tarde;GT_Leagues;Copenhagen;Mars;Dortmund;Venom;4;2;H
175;02/07;13:30;Tarde;GT_Leagues;Arsenal;Raul;Barcelona;Anthem;2;5;A
176;02/07;13:15;Tarde;GT_Leagues;A.Madrid;Mosquito;Porto;Professor;2;1;H
177;02/07;13:15;Tarde;GT_Leagues;Napoli;Furious;PSV;Socrates;1;1;D
178;02/07;13:15;Tarde;GT_Leagues;Copenhagen;Mars;Barcelona;Anthem;0;2;A
179;02/07;13:15;Tarde;GT_Leagues;Arsenal;Raul;Lazio;Seagal;2;2;D
