Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
66;02/07;17:15;Tarde;GT Leagues;PSG;Professor;Bayern;Mosquito;3;5;A
67;02/07;17:15;Tarde;GT Leagues;Inter;Socrates;Real Madrid;Furious;3;2;H
68;02/07;17:15;Tarde;GT Leagues;Real Madrid;Seagal;Barcelona;Raul;1;4;A
69;02/07;17:15;Tarde;GT Leagues;A.Madrid;Anthem;A.Bilbao;Mars;1;4;A
70;02/07;17:00;Tarde;GT Leagues;Man City;Saigon;Inter;Socrates;3;2;H
71;02/07;17:00;Tarde;GT Leagues;PSG;Professor;Real Madrid;Furious;1;4;A
72;02/07;17:00;Tarde;GT Leagues;Real Madrid;Seagal;Girona;Venom;3;1;H
73;02/07;17:00;Tarde;GT Leagues;A.Bilbao;Mars;Barcelona;Raul;2;5;A
74;02/07;16:45;Tarde;GT Leagues;Girona;Venom;Barcelona;Raul;0;3;A
75;02/07;16:45;Tarde;GT Leagues;Real Madrid;Seagal;A.Madrid;Anthem;3;3;D
76;02/07;16:30;Tarde;GT Leagues;Bayern;Mosquito;Real Madrid;Furious;2;1;H
77;02/07;16:30;Tarde;GT Leagues;Man City;Saigon;PSG;Professor;1;1;D
78;02/07;16:30;Tarde;GT Leagues;Girona;Venom;A.Madrid;Anthem;1;4;A
79;02/07;16:30;Tarde;GT Leagues;A.Bilbao;Mars;Real Madrid;Seagal;1;3;A
80;02/07;16:15;Tarde;GT Leagues;Bayern;Mosquito;Inter;Socrates;2;3;A
81;02/07;16:15;Tarde;GT Leagues;A.Bilbao;Mars;Girona;Venom;4;2;H
82;02/07;16:15;Tarde;GT Leagues;Barcelona;Raul;A.Madrid;Anthem;2;3;A
83;02/07;16:00;Tarde;GT Leagues;Bayern;Mosquito;Man City;Saigon;3;4;A
84;02/07;16:00;Tarde;GT Leagues;PSG;Professor;Inter;Socrates;1;4;A
85;02/07;16:00;Tarde;GT Leagues;A.Bilbao;Mars;A.Madrid;Anthem;1;4;A
86;02/07;16:00;Tarde;GT Leagues;Barcelona;Raul;Real Madrid;Seagal;1;4;A
87;02/07;15:45;Tarde;GT Leagues;Bayern;Mosquito;PSG;Professor;2;1;H
88;02/07;15:45;Tarde;GT Leagues;Real Madrid;Furious;Inter;Socrates;4;2;H
89;02/07;15:45;Tarde;GT Leagues;Barcelona;Raul;A.Bilbao;Mars;4;3;H
90;02/07;15:30;Tarde;GT Leagues;Inter;Socrates;Man City;Saigon;2;3;A
91;02/07;15:30;Tarde;GT Leagues;Real Madrid;Furious;PSG;Professor;2;4;A
92;02/07;15:30;Tarde;GT Leagues;Barcelona;Raul;Girona;Venom;2;1;H
93;02/07;15:30;Tarde;GT Leagues;A.Madrid;Anthem;Real Madrid;Seagal;2;1;H
94;02/07;15:15;Tarde;GT Leagues;Napoli;Furious;A.Madrid;Mosquito;4;1;H
